Brand,Sneaker Name,Sale Price,Retail Price,Shoe Size
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,11.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,390,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,366,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,410,220,6.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,350,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,360,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,379,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,358,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,182,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,183,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,383,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,168,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,357,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,590,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,625,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Copper,625,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Green,621,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-Red-2017,1099,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Core-Black-White,650,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,430,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,419,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Cream-White,400,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,644,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,220,220,14
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,605,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,110,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,636,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,115,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,705,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Semi-Frozen-Yellow,601,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,530,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,560,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Zebra,575,220,11
Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1180,190,10.5
Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1200,190,10
Off-White,Nike-Air-Force-1-Low-Off-White,475,170,10.5
Off-White,Nike-Air-Force-1-Low-Off-White,476,170,11.5
Off-White,Nike-Air-Force-1-Low-Off-White,650,170,6.5
Off-White,Nike-Air-Force-1-Low-Off-White,450,170,12
Off-White,Nike-Air-Max-90-Off-White,531,160,10
Off-White,Nike-Air-Max-90-Off-White,536,160,9
Off-White,Nike-Air-Max-97-Off-White,499,190,10
Off-White,Nike-Air-Max-97-Off-White,540,190,9
Off-White,Nike-Air-Presto-Off-White,1080,160,8
